vector,scenario,alpha,mean_compliance,std_compliance,n,sem
CLIPPED Vector,myanmar,-4.0,0.32666666666666666,0.17902341387664736,10,0.056612174234919974
CLIPPED Vector,myanmar,-3.0,0.39,0.1315153842571138,10,0.04158881616047311
CLIPPED Vector,myanmar,-2.0,0.33666666666666667,0.13000474825136668,10,0.0411111111111111
CLIPPED Vector,myanmar,-1.0,0.27999999999999997,0.06885303726590962,10,0.02177324215807269
CLIPPED Vector,myanmar,0.0,0.27666666666666667,0.1721684503869451,10,0.05444444444444444
CLIPPED Vector,myanmar,1.0,0.22000000000000003,0.09962894120648841,10,0.03150543750835072
CLIPPED Vector,myanmar,2.0,0.35,0.16273131684307565,10,0.051460160786264045
CLIPPED Vector,myanmar,3.0,0.37333333333333335,0.19925788241297682,10,0.06301087501670144
CLIPPED Vector,myanmar,4.0,0.52,0.1229272594305718,10,0.03887301263230199
CLIPPED Vector,tea,-4.0,0.49333333333333335,0.06440611887195306,10,0.02036700308869262
CLIPPED Vector,tea,-3.0,0.21857142857142858,0.22926976654225506,10,0.07250146608885928
CLIPPED Vector,tea,-2.0,0.15,0.2881400551086653,10,0.09111788592698179
CLIPPED Vector,tea,-1.0,0.2633333333333333,0.19080725197802995,10,0.06033855103282429
CLIPPED Vector,tea,0.0,0.06714285714285714,0.20713464679952,10,0.06550172662209898
CLIPPED Vector,tea,1.0,0.06999999999999999,0.20050390035846413,10,0.06340490048801978
CLIPPED Vector,tea,2.0,0.10428571428571429,0.16386073396654374,10,0.05181731384011952
CLIPPED Vector,tea,3.0,0.005714285714285716,0.08170518319819892,10,0.025837447554762923
CLIPPED Vector,tea,4.0,-0.09523809523809523,0.2296271913653984,10,0.07261449374220086
CLIPPED Vector,wallet,-4.0,0.03666666666666667,0.6722819073595265,10,0.21259420569784185
CLIPPED Vector,wallet,-3.0,-0.27999999999999997,0.34790377554294677,10,0.11001683372876947
CLIPPED Vector,wallet,-2.0,-0.18,0.3997530101647797,10,0.12641300136291458
CLIPPED Vector,wallet,-1.0,-0.27666666666666667,0.2854712370108306,10,0.09027393154199823
CLIPPED Vector,wallet,0.0,-0.3861904761904762,0.23727318405161682,10,0.0750323689283448
CLIPPED Vector,wallet,1.0,-0.4333333333333333,0.3177855476905576,10,0.10049261381862234
CLIPPED Vector,wallet,2.0,-0.2733333333333333,0.38675605607873836,10,0.12230300360726232
CLIPPED Vector,wallet,3.0,-0.39,0.2837360971739517,10,0.08972523214765518
CLIPPED Vector,wallet,4.0,-0.44857142857142857,0.317538085712651,10,0.10041435947017482
FULL Vector,myanmar,-4.0,0.2533333333333333,0.06885303726590962,10,0.02177324215807269
FULL Vector,myanmar,-3.0,0.29333333333333333,0.12649110640673517,10,0.039999999999999994
FULL Vector,myanmar,-2.0,0.3,0.15153535218873174,10,0.04791968589521739
FULL Vector,myanmar,-1.0,0.3,0.15153535218873174,10,0.04791968589521739
FULL Vector,myanmar,0.0,0.35,0.12095300587265133,10,0.038248698840130005
FULL Vector,myanmar,1.0,0.36666666666666664,0.19180751668480073,10,0.060654862506471896
FULL Vector,myanmar,2.0,0.2966666666666667,0.14610160509845768,10,0.04620138419175953
FULL Vector,myanmar,3.0,0.2,0.12171612389003691,10,0.03849001794597505
FULL Vector,myanmar,4.0,0.3333333333333333,0.10886621079036346,10,0.03442651863295481
FULL Vector,tea,-4.0,0.029047619047619044,0.2433747984426629,10,0.0769618688163215
FULL Vector,tea,-3.0,0.03666666666666667,0.22795386147850835,10,0.07208534037026042
FULL Vector,tea,-2.0,0.04476190476190477,0.16756673065219826,10,0.05298925289288985
FULL Vector,tea,-1.0,0.05071428571428571,0.21807366289623237,10,0.06896094724478456
FULL Vector,tea,0.0,0.09904761904761905,0.26124303127696735,10,0.0826123001681823
FULL Vector,tea,1.0,0.06142857142857143,0.19237741628056187,10,0.060835080582493345
FULL Vector,tea,2.0,0.09238095238095238,0.16237404754982326,10,0.051347182315792425
FULL Vector,tea,3.0,0.1842857142857143,0.21364454341196085,10,0.06756033668485173
FULL Vector,tea,4.0,0.06000000000000001,0.09660917830792962,10,0.03055050463303894
FULL Vector,wallet,-4.0,-0.36333333333333334,0.3653004851412663,10,0.11551815634108974
FULL Vector,wallet,-3.0,-0.27,0.32714628434085063,10,0.10345273865781644
FULL Vector,wallet,-2.0,-0.16238095238095238,0.27263215929283774,10,0.08621385867752078
FULL Vector,wallet,-1.0,-0.44952380952380955,0.19008160186906728,10,0.060109080319957146
FULL Vector,wallet,0.0,-0.38333333333333336,0.28555771724214213,10,0.09030127899235048
FULL Vector,wallet,1.0,-0.3061904761904762,0.3178889962835704,10,0.10052532713608836
FULL Vector,wallet,2.0,-0.3183333333333333,0.33374511602289525,10,0.10553947245895054
FULL Vector,wallet,3.0,-0.12333333333333334,0.24356107132473492,10,0.07702077347368864
FULL Vector,wallet,4.0,-0.07666666666666666,0.4416719077257168,10,0.1396689206924984
